run_id,t,p_family,theta,source_feature,best_alpha_source,alpha_pref_readout,mu_S1_source,mu_S2_source,mu_S3_source,mu_S1_readout,mu_S2_readout,mu_S3_readout,soft_overlap_score,soft_best_branch_source,soft_best_branch_readout,soft_branch_match_flag
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,neg,1.78,1.73,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.5972578828343078e-06,0.095634444832539,0.8007374029168077,0.7907553281162022,S3,S3,1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,1.42,1.42,1.0,0.011108996538242207,4.08283604114246e-08,1.0,0.011108996538242207,4.08283604114246e-08,1.0001234098040883,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,abs,1.64,1.66,0.001203859994828204,0.8007374029168097,0.09563444483253822,0.00033546262790251185,0.6065306597126351,0.1862704636977003,0.5034860614821812,S2,S2,1
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,abs,1.64,1.66,0.001203859994828204,0.8007374029168097,0.09563444483253822,0.00033546262790251185,0.6065306597126351,0.1862704636977003,0.5034860614821812,S2,S2,1
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,abs,1.64,1.66,0.001203859994828204,0.8007374029168097,0.09563444483253822,0.00033546262790251185,0.6065306597126351,0.1862704636977003,0.5034860614821812,S2,S2,1
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,abs,1.78,1.8,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.94976778601721e-09,0.003865920139472818,0.8824969025845952,0.8703676723268369,S3,S3,1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,1.42,1.42,1.0,0.011108996538242207,4.08283604114246e-08,1.0,0.011108996538242207,4.08283604114246e-08,1.0001234098040883,S1,S1,1
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,neg,1.6,1.63,0.011108996538242207,1.0,0.018063013419781337,0.002187491118182889,0.8824969025845968,0.06572852861653015,0.883708458710319,S2,S2,1
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,neg,1.6,1.63,0.011108996538242207,1.0,0.018063013419781337,0.002187491118182889,0.8824969025845968,0.06572852861653015,0.883708458710319,S2,S2,1
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,1.58,1.57,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.043936933623407164,0.8824969025845952,0.003865920139472818,0.8360870708756243,S2,S2,1
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,neg,1.58,1.57,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.043936933623407164,0.8824969025845952,0.003865920139472818,0.8360870708756243,S2,S2,1
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,neg,1.58,1.57,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.043936933623407164,0.8824969025845952,0.003865920139472818,0.8360870708756243,S2,S2,1
