residual_model,group_key,edge_rows,strength_min,strength_median,strength_mean,strength_max,residual_min,residual_median,residual_mean,residual_max,residual_abs_mean,residual_nonzero_count
fine_label_features,"abs_delta_pair=1,2|same_orientation=false|shares_any_index=true",36,0.2423545674493508,0.24235456744935083,0.24235456744935086,0.2423545674493509,-5.551115123125783e-17,-2.7755575615628914e-17,-2.4671622769447922e-17,5.551115123125783e-17,3.0839528461809905e-17,0
fine_label_features,"abs_delta_pair=1,2|same_orientation=true|shares_any_index=false",24,0.2423545674493508,0.24235456744935086,0.24235456744935083,0.2423545674493509,-2.7755575615628914e-17,2.7755575615628914e-17,1.850371707708594e-17,8.326672684688674e-17,3.700743415417188e-17,0
fine_label_features,"abs_delta_pair=1,2|same_orientation=true|shares_any_index=true",36,0.2423545674493508,0.24235456744935086,0.24235456744935086,0.2423545674493509,-5.551115123125783e-17,0.0,-6.1679056923619804e-18,5.551115123125783e-17,1.2335811384723961e-17,0
fine_label_features,"abs_delta_pair=1,3|same_orientation=false|shares_any_index=false",20,0.31132172327636753,0.31132172327636765,0.3113217232763676,0.31132172327636765,-5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251566e-17,5.551115123125783e-17,4.4408920985006264e-17,0
fine_label_features,"abs_delta_pair=1,3|same_orientation=false|shares_any_index=true",28,0.31132172327636753,0.31132172327636765,0.3113217232763676,0.31132172327636765,-5.551115123125783e-17,2.7755575615628914e-17,7.93016446160826e-18,5.551115123125783e-17,4.7580986769649563e-17,0
fine_label_features,"abs_delta_pair=1,3|same_orientation=true|shares_any_index=false",20,0.3113217232763676,0.31132172327636765,0.31132172327636765,0.31132172327636765,-5.551115123125783e-17,0.0,-1.6653345369377347e-17,0.0,1.6653345369377347e-17,0
fine_label_features,"abs_delta_pair=1,3|same_orientation=true|shares_any_index=true",28,0.3113217232763676,0.31132172327636765,0.31132172327636765,0.31132172327636765,-5.551115123125783e-17,0.0,-1.9825411154020653e-17,0.0,1.9825411154020653e-17,0
fine_label_features,"abs_delta_pair=1,4|same_orientation=false|shares_any_index=false",16,0.10651164470321299,0.106511644703213,0.106511644703213,0.10651164470321303,-1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,2.7755575615628914e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=1,4|same_orientation=false|shares_any_index=true",20,0.10651164470321299,0.106511644703213,0.10651164470321302,0.10651164470321303,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=1,4|same_orientation=true|shares_any_index=false",16,0.10651164470321299,0.10651164470321299,0.106511644703213,0.10651164470321303,-1.3877787807814457e-17,-1.3877787807814457e-17,1.734723475976807e-18,2.7755575615628914e-17,1.9081958235744878e-17,0
fine_label_features,"abs_delta_pair=1,4|same_orientation=true|shares_any_index=true",20,0.10651164470321299,0.10651164470321299,0.10651164470321299,0.10651164470321303,0.0,0.0,1.2490009027033011e-17,4.163336342344337e-17,1.2490009027033011e-17,0
fine_label_features,"abs_delta_pair=1,5|same_orientation=false|shares_any_index=false",12,0.18664400870287967,0.18664400870287973,0.1866440087028797,0.18664400870287975,-2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,5.551115123125783e-17,4.163336342344337e-17,0
fine_label_features,"abs_delta_pair=1,5|same_orientation=false|shares_any_index=true",12,0.18664400870287964,0.1866440087028797,0.1866440087028797,0.18664400870287975,-5.551115123125783e-17,0.0,-4.625929269271485e-18,5.551115123125783e-17,4.163336342344337e-17,0
fine_label_features,"abs_delta_pair=1,5|same_orientation=true|shares_any_index=false",12,0.18664400870287967,0.18664400870287973,0.18664400870287975,0.1866440087028798,-8.326672684688674e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,5.551115123125783e-17,6.938893903907228e-17,0
fine_label_features,"abs_delta_pair=1,5|same_orientation=true|shares_any_index=true",12,0.18664400870287967,0.1866440087028797,0.1866440087028797,0.1866440087028798,-2.7755575615628914e-17,0.0,1.3877787807814457e-17,1.1102230246251565e-16,4.163336342344337e-17,0
fine_label_features,"abs_delta_pair=1,6|same_orientation=false|shares_any_index=false",8,0.08054800671397025,0.08054800671397028,0.08054800671397028,0.08054800671397029,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=1,6|same_orientation=false|shares_any_index=true",4,0.08054800671397025,0.08054800671397028,0.08054800671397028,0.08054800671397029,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=1,6|same_orientation=true|shares_any_index=false",8,0.08054800671397025,0.08054800671397028,0.08054800671397028,0.08054800671397029,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=1,6|same_orientation=true|shares_any_index=true",4,0.08054800671397025,0.08054800671397028,0.08054800671397028,0.08054800671397029,-2.7755575615628914e-17,-6.938893903907228e-18,-6.938893903907228e-18,1.3877787807814457e-17,2.0816681711721685e-17,0
fine_label_features,"abs_delta_pair=2,2|same_orientation=false|shares_any_index=false",14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=2,2|same_orientation=false|shares_any_index=true",11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=2,2|same_orientation=true|shares_any_index=false",14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=2,2|same_orientation=true|shares_any_index=true",6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=2,3|same_orientation=false|shares_any_index=false",16,0.0780082760320604,0.07800827603206041,0.07800827603206041,0.07800827603206043,-1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0
