pair_set_id,fsw_regime_id,ao_regime_id,feature_name,fsw_value,ao_value,raw_difference,abs_difference,normalized_difference,feature_weight,weighted_difference,relative_contribution,contribution_judgement
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A08,distance_to_type_D,0.245176,0.3,0.0548239999999999,0.0548239999999999,0.2035463942022097,1.0,0.2035463942022097,0.139260434027492,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A08,spacing_cv,0.3134903621063912,0.2702443602646979,-0.0432460018416933,0.0432460018416933,0.0959514350980256,0.8,0.0767611480784205,0.0525177114522099,minor
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A08,grid_deviation_score,0.2450000000000001,0.5449999999999995,0.2999999999999994,0.2999999999999994,0.4054054054054046,1.0,0.4054054054054046,0.27736641042022986,strong
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A08,simple_rigidity_surrogate,0.045176,0.2170639999999997,0.1718879999999997,0.1718879999999997,0.3998287989876803,1.2,0.4797945587852164,0.3282612731232204,strong
FSW_CORE_VS_AO_JUMP,FSW_D05,AO_A09,delta_p2_relative_gain_vs_type_A,0.223,0.1169999999999999,-0.1060000000000001,0.1060000000000001,0.2572815533980584,1.0,0.2572815533980584,0.15020440264394538,moderate
FSW_CORE_VS_AO_JUMP,FSW_D05,AO_A09,distance_to_type_D,0.24016,0.3,0.0598399999999999,0.0598399999999999,0.2221694190329095,1.0,0.2221694190329095,0.12970547025561605,moderate
FSW_CORE_VS_AO_JUMP,FSW_D05,AO_A09,spacing_cv,0.2862851439971509,0.2915973678275185,0.0053122238303676,0.0053122238303676,0.0117864190532935,0.8,0.0094291352426348,0.005504854925909434,minor
FSW_CORE_VS_AO_JUMP,FSW_D05,AO_A09,grid_deviation_score,0.23,0.6266666666666664,0.3966666666666664,0.3966666666666664,0.5360360360360357,1.0,0.5360360360360357,0.31294498779650454,strong
FSW_CORE_VS_AO_JUMP,FSW_D05,AO_A09,simple_rigidity_surrogate,0.04016,0.2866239999999999,0.2464639999999998,0.2464639999999998,0.573300085600506,1.2,0.6879601027206073,0.4016402843780246,strong
FSW_CORE_VS_AO_JUMP,FSW_D06,AO_A09,delta_p2_relative_gain_vs_type_A,0.257,0.1169999999999999,-0.1400000000000001,0.1400000000000001,0.3398058252427187,1.0,0.3398058252427187,0.19177086763564133,moderate
FSW_CORE_VS_AO_JUMP,FSW_D06,AO_A09,distance_to_type_D,0.245176,0.3,0.0548239999999999,0.0548239999999999,0.2035463942022097,1.0,0.2035463942022097,0.11487227622534835,moderate
FSW_CORE_VS_AO_JUMP,FSW_D06,AO_A09,spacing_cv,0.3134903621063912,0.2915973678275185,-0.0218929942788727,0.0218929942788727,0.048574761369627,0.8,0.0388598090957016,0.021930699101803484,minor
FSW_CORE_VS_AO_JUMP,FSW_D06,AO_A09,grid_deviation_score,0.2450000000000001,0.6266666666666664,0.3816666666666662,0.3816666666666662,0.5157657657657653,1.0,0.5157657657657653,0.29107461099883297,strong
FSW_CORE_VS_AO_JUMP,FSW_D06,AO_A09,simple_rigidity_surrogate,0.045176,0.2866239999999999,0.2414479999999998,0.2414479999999998,0.5616323644348504,1.2,0.6739588373218205,0.3803515460383739,strong
