run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.3,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.5,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,0.8,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.0,1.72,S3,1.9101003942671164e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919759181
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.3,1.72,S3,2.404643674142752e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197344537
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.7,1.72,S3,2.591501994671178e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919725111
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,2.2,1.72,S3,2.6540341974455863e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197219844
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,3.0,1.72,S3,2.7247622495947385e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197184479
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.3,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.5,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.8,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.0,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.3,1.86,,9.527360822188054e-11,1.58,S2,0.0022301602906277,0.28,0,0,1.2788849198070493
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.7,1.72,S3,2.0494190326311554e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919752215
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,2.2,1.72,S3,2.380577225349596e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197356572
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,3.0,1.72,S3,2.6268093007686904e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197233455
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.3,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.5,1.52,,1.2139984722353267e-12,1.58,S2,0.0022301602906277,0.06000000000000005,0,1,0.058884919854079204
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.8,1.4,S1,3.753946437061177e-11,1.58,S2,0.0022301602906277,0.18000000000000016,0,0,1.1788849198359166
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.0,1.34,,6.912465117163154e-11,1.58,S2,0.0022301602906277,0.24,0,0,1.2388849198201237
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.3,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.7,1.72,S3,1.856430411143716e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197618645
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,2.2,1.72,S3,2.2859210349568407e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197403899
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,3.0,1.72,S3,2.5936909559260243e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197250015
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.3,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.5,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.8,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.0,1.9,,0.0,1.58,S2,0.0022301602906277,0.31999999999999984,0,0,1.318884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.3,1.86,,9.527360921489432e-11,1.58,S2,0.0022301602906277,0.28,0,0,1.2788849198070493
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.7,1.72,S3,2.0494190353994973e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919752215
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,2.2,1.72,S3,2.3805772224414274e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197356572
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,3.0,1.72,S3,2.6268092973384055e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197233455
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.3,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.5,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.8,1.3,,0.0,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.0,1.72,S3,1.9101004557434442e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919759181
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.3,1.72,S3,2.404643696364397e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197344537
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.7,1.72,S3,2.5915019948911417e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919725111
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,2.2,1.72,S3,2.6540341905242684e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197219844
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,3.0,1.72,S3,2.724762242584482e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197184479
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.3,1.7,,3.6771498404830365e-14,1.58,S2,0.0022301602906277,0.11999999999999988,0,1,0.11888491985466765
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.5,1.7,,4.221639935713919e-11,1.58,S2,0.0022301602906277,0.11999999999999988,0,1,0.11888491983357784
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.8,1.72,S3,2.6747275701086457e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197209496
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.0,1.72,S3,3.4260715731779705e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196833823
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.3,1.72,S3,3.638006588451541e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196727857
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.7,1.72,S3,3.3874478066063504e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196853137
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,2.2,1.72,S3,3.0774551878860205e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197008133
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,3.0,1.72,S3,2.883484023006416e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197105118
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.3,1.88,,7.728396143515686e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194682661
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.5,1.88,,7.244361381263977e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194924679
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.8,1.88,,5.969028187326274e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849195562344
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.0,1.86,,5.238689220046634e-10,1.58,S2,0.0022301602906277,0.28,0,0,1.2788849195927516
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.3,1.74,S3,4.727740147793033e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919618299
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.7,1.74,S3,4.021443054680714e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919653614
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,2.2,1.72,S3,3.61056353862589e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196741577
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,3.0,1.72,S3,3.0966413960585896e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196998538
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.3,1.88,,1.548620710656865e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190803755
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.5,1.88,,1.493926881663462e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849191077225
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.8,1.88,,1.0786584745883345e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849193153567
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.0,1.88,,8.457634864916994e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194318042
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.3,1.86,,6.302901644748653e-10,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919539541
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.7,1.74,S3,4.972495779206647e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919606061
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,2.2,1.74,S3,3.936612459330098e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.1588849196578555
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,3.0,1.72,S3,3.3562169166253957e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.138884919686875
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.3,1.88,,1.548666910154308e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190803524
