run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_candidate,candidate_value,candidate_prominence,source_branch_id,source_branch_center,delta_to_branch_center
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,2.2,1.9,1.4282905752306358e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,3.0,1.9,1.2068544072693453e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,0.3,1.9,2.8374873954631715e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,0.5,1.9,2.747147193676313e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,0.8,1.9,2.427956505634957e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,1.0,1.9,2.1676945850363e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,1.3,1.9,1.8356809871382514e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,1.7,1.9,1.5303752843345877e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,2.2,1.9,1.3082380784253647e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.0,3.0,1.9,1.1558050808465137e-07,0.0,,,
