database_path,table_name,column_id,column_name,declared_type,not_null,default_value,primary_key
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,9,hash_algorithm,TEXT,1,'sha256',0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,10,size_bytes,INTEGER,0,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,11,created_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,12,created_by,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,13,source_system,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,14,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,15,visibility,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact,16,notes,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,0,alias_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,2,alias,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,3,language,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,4,alias_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_alias,5,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,0,boundary_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,2,admissible_use,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,3,forbidden_use,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,4,overclaim_risk,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,5,review_status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_claim_boundary,6,notes,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,qsb_artifact_export,0,export_id,TEXT,0,,1
