run_id,case_id,reference_mode,class_mode,top_k,branch_label_none,branch_label_quadratic,class_overlap_none_vs_quadratic,weighted_class_shift,identity_preserved_flag
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-1.7373660701203164e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-1.7373660701203164e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-1.7373660701203164e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-1.7373660701203164e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-4.85115639881073e-08,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,0.6666666666666666,-4.85115639881073e-08,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-4.85115639881073e-08,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-4.85115639881073e-08,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-8.058997913451549e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-8.058997913451549e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-8.058997913451549e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-8.058997913451549e-12,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,3.980481202359165e-05,1
config_m33_v0,P0__k0=-1.5__sk=0.5__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,3.980481202359165e-05,1
