run_id,case_id,reference_mode,top_k,pair_i,pair_j,present_in_none,present_in_quadratic,rank_none,rank_quadratic,weight_none,weight_quadratic,rank_shift,weight_shift,migration_type
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,1,2,1,1,3,3,3.775133982489299e-11,4.142080175806992e-11,0,3.66946193317693e-12,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,1,3,1,1,5,5,1.3921844205350222e-20,2.9507689438577287e-20,0,1.5585845233227065e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,0,1,1,1,1,1,0.9999998511868144,0.9999996975782862,0,-1.5360852823054216e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,0,2,1,1,2,2,1.487754342284189e-07,3.02380292780748e-07,0,1.536048585523291e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,0,3,1,1,4,4,4.264114488098536e-17,2.538733357645642e-16,0,2.1123219088357883e-16,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,0,4,1,1,7,7,3.46524617932693e-28,3.656905102091503e-28,0,1.9165892276457287e-29,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,0,5,1,1,10,10,2.3358379597883708e-42,6.700810531412738e-43,0,-1.665756906647097e-42,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,1,2,1,1,3,3,3.775133982489299e-11,4.142080175806992e-11,0,3.66946193317693e-12,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,1,3,1,1,5,5,1.3921844205350222e-20,2.9507689438577287e-20,0,1.5585845233227065e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,1,4,1,1,8,8,9.890710905916914e-33,2.5425290213169354e-32,0,1.553457930725244e-32,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,2,3,1,1,6,6,8.756509459612256e-27,8.941954342303899e-27,0,1.854448826916428e-28,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,10,2,4,1,1,9,9,8.00439532186874e-39,7.371349050008718e-39,0,-6.330462718600227e-40,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,1,0,1,1,1,1,1,0.9954528532774938,0.989220333983217,0,-0.006232519294276817,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,3,0,1,1,1,1,1,0.9954528532774938,0.989220333983217,0,-0.006232519294276817,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,3,0,2,1,1,2,2,0.0044608836436967,0.0106644913297445,0,0.006203607686047801,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,3,1,2,1,1,3,3,8.443255428605964e-05,0.0001123756282066,0,2.7943073920540357e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,0,1,1,1,1,1,0.9954528532774938,0.989220333983217,0,-0.006232519294276817,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,0,2,1,1,2,2,0.0044608836436967,0.0106644913297445,0,0.006203607686047801,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,0,3,1,1,4,4,1.7941395034466283e-06,2.7214939204083966e-06,0,9.273544169617683e-07,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,1,2,1,1,3,3,8.443255428605964e-05,0.0001123756282066,0,2.7943073920540357e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,1,3,1,1,5,5,3.631051725179728e-08,7.743753194367496e-08,0,4.112701469187768e-08,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,0,1,1,1,1,1,0.9954528532774938,0.989220333983217,0,-0.006232519294276817,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,0,2,1,1,2,2,0.0044608836436967,0.0106644913297445,0,0.006203607686047801,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,0,3,1,1,4,4,1.7941395034466283e-06,2.7214939204083966e-06,0,9.273544169617683e-07,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,0,4,1,1,7,7,7.143670700880876e-12,1.546945955336236e-11,0,8.325788852481483e-12,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,0,5,1,1,10,10,1.0387953858650134e-16,2.0966193876464102e-16,0,1.0578240017813968e-16,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,1,2,1,1,3,3,8.443255428605964e-05,0.0001123756282066,0,2.7943073920540357e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,1,3,1,1,5,5,3.631051725179728e-08,7.743753194367496e-08,0,4.112701469187768e-08,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,1,4,1,1,8,8,1.4014901728194065e-12,2.4437080302619705e-12,0,1.042217857442564e-12,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,2,3,1,1,6,6,6.595440035216505e-11,1.0946123942262016e-10,0,4.350683907045511e-11,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,10,2,4,1,1,9,9,2.722002952000332e-15,4.9544471215848985e-15,0,2.2324441695845666e-15,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,1,0,1,1,1,1,1,0.9915458632901896,0.9869726510777544,0,-0.004573212212435118,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,3,0,1,1,1,1,1,0.9915458632901896,0.9869726510777544,0,-0.004573212212435118,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,3,0,2,1,1,2,2,0.0083678929879722,0.013022185893697,0,0.0046542929057248,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,3,1,2,1,1,3,3,8.410117029021083e-05,4.919906551857374e-06,0,-7.918126373835346e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,0,1,1,1,1,1,0.9915458632901896,0.9869726510777544,0,-0.004573212212435118,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,0,2,1,1,2,2,0.0083678929879722,0.013022185893697,0,0.0046542929057248,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,0,3,1,1,4,4,2.0743423173711583e-06,1.359045015864001e-07,0,-1.9384378157847582e-06,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,1,2,1,1,3,3,8.410117029021083e-05,4.919906551857374e-06,0,-7.918126373835346e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,1,3,1,1,5,5,6.811263125642986e-08,1.070678442005907e-07,0,3.8955212944160834e-08,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,0,1,1,1,1,1,0.9915458632901896,0.9869726510777544,0,-0.004573212212435118,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,0,2,1,1,2,2,0.0083678929879722,0.013022185893697,0,0.0046542929057248,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,0,3,1,1,4,4,2.0743423173711583e-06,1.359045015864001e-07,0,-1.9384378157847582e-06,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,0,4,1,1,7,6,2.9278114280434595e-11,9.02599093325264e-11,-1,6.09817950520918e-11,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,0,5,1,1,10,10,1.7932086141385636e-16,1.9541402357828936e-16,0,1.6093162164432996e-17,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,1,2,1,1,3,3,8.410117029021083e-05,4.919906551857374e-06,0,-7.918126373835346e-05,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,1,3,1,1,5,5,6.811263125642986e-08,1.070678442005907e-07,0,3.8955212944160834e-08,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,1,4,1,1,8,8,1.620370304134264e-12,1.524452776900445e-12,0,-9.591752723381886e-14,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,2,3,1,1,6,7,6.569554009479955e-11,5.7859394700972174e-11,1,-7.836145393827378e-12,shared
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,10,2,4,1,1,9,9,5.106035313758446e-15,6.839362422172805e-15,0,1.7333271084143587e-15,shared
