run_id,case_label,branch_label,mode,sigma_factor,sigma_p_test,t,p_family,theta,source_feature,best_p0,sigma_p_base,best_alpha_source,diversity_group,group_weight,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p2,dp2=-20,15,0.0,0.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p2,dp2=-27,16,0.0,0.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,pruned,0.5,0.4,40.0,P2,1e-09,neg,-1.5,0.8,1.42,S1|40.0|P2|neg,1.0,delta_p2,dp2=7,17,0.0,0.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-1,1,3.010492548450602e-07,0.9999999999450785
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-2,2,1.6534073758301548e-17,5.49214903916736e-11
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-3,3,9.722960316122058e-47,3.229690875864195e-40
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-4,4,0.0,0.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-5,5,0.0,0.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p,dp=-6,6,0.0,0.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=1,1,1.5413325283428704e-07,0.5119868272225053
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=3,2,1.4691600201077314e-07,0.4880131727225731
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=4,3,1.6534073758301548e-17,5.49214903916736e-11
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=0,4,9.09037360399424e-37,3.0195635621730697e-30
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=8,5,5.880738331335607e-37,1.953414013278074e-30
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=-1,6,3.836563554462659e-46,1.2743972929700481e-39
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,pruned,0.5,0.15,5.0,P0,1e-09,neg,-1.0,0.3,1.3,S1|5.0|P0|neg,1.0,delta_p2,dp2=5,7,3.3060370679522534e-46,1.0981714834245929e-39
