pair_a,pair_b,abs_delta_a,abs_delta_b,same_abs_delta,strength,theta_edge,edge_candidate_flag,expected_flag_by_same_abs_delta,expected_flag_by_strength_threshold,flag_matches_same_abs_delta,flag_matches_strength_threshold,strength_is_one,strength_one_matches_same_abs_delta
2|1,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
2|3,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
3|2,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
3|4,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
4|3,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
4|5,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
5|4,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
5|6,6|0,1,6,false,0.08054800671397025,0.5,0,0,0,true,true,false,true
0|2,1|0,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
0|2,1|2,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,2|1,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,2|3,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,3|2,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,3|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,4|3,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,5|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,5|6,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
0|2,6|5,2,1,false,0.2423545674493509,0.5,0,0,0,true,true,false,true
1|3,2|1,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
1|3,2|3,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
1|3,3|2,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
1|3,3|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
1|3,4|3,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
1|3,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
1|3,5|4,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
1|3,5|6,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
1|3,6|5,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,2|1,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,2|3,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,3|2,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,3|4,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,4|3,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,4|5,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,5|4,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,5|6,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|0,6|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
2|4,3|2,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|4,3|4,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
2|4,4|3,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
2|4,4|5,2,1,false,0.24235456744935086,0.5,0,0,0,true,true,false,true
2|4,5|4,2,1,false,0.2423545674493508,0.5,0,0,0,true,true,false,true
