run_id,t,p_family,alpha,n_nodes,n_pairs,I_net,I_abs,f_pos,f_neg,f_zero,mean_kpos,mean_kneg,sum_kpos,sum_kneg,lambda_max_kpos,lambda_max_kneg,lambda_max_kabs,sign_imbalance,source_peak_flag,source_feature,finite_fraction
M33_V0_alpha_peak_robustness,2.0,P2,1.6,7,21,-2.991164904196318e-08,4.749530103358748e-08,0.38095238095238093,0.6190476190476191,0.0,8.79182599581215e-09,3.870347503777533e-08,1.8462834591205513e-07,8.127729757932819e-07,6.328600559351144e-08,2.563004564378265e-07,2.9963827551916724e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.62,7,21,-2.9705840273787257e-08,4.911364828943707e-08,0.38095238095238093,0.6190476190476191,0.0,9.703904007824908e-09,3.940974428161216e-08,2.0378198416432305e-07,8.276046299138555e-07,7.767035799431748e-08,2.6161324770167235e-07,3.1352052563648434e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.64,7,21,-2.7344245175780015e-08,5.041417839756349e-08,0.38095238095238093,0.6190476190476191,0.0,1.153496661089174e-08,3.8879211786671756e-08,2.4223429882872655e-07,8.164634475201068e-07,9.676327725525222e-08,2.5864901536209857e-07,3.2095159882577787e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.66,7,21,-2.298159025131451e-08,4.795540258454749e-08,0.42857142857142855,0.5714285714285714,0.0,1.248690616661649e-08,3.5468496417931e-08,2.622250294989463e-07,7.44838424776551e-07,1.1298018207830155e-07,2.4682406395150356e-07,3.149878277373558e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.68,7,21,-1.765122801846598e-08,4.84191840856703e-08,0.47619047619047616,0.5238095238095238,0.0,1.538397803360216e-08,3.3035206052068145e-08,3.2306353870564537e-07,6.93739327093431e-07,1.3181894062123804e-07,2.3946017440604763e-07,3.1967077845415717e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.7,7,21,-1.2810109593843882e-08,4.739289036167218e-08,0.42857142857142855,0.5714285714285714,0.0,1.729139038391415e-08,3.010149997775803e-08,3.6311919806219714e-07,6.321314995329187e-07,1.4700210049009358e-07,2.3136512383788513e-07,3.189205849439122e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.72,7,21,-9.638006959347467e-09,5.067601688181411e-08,0.47619047619047616,0.5238095238095238,0.0,2.051900496123332e-08,3.015701192058079e-08,4.308991041858997e-07,6.332972503321965e-07,1.6815471770071943e-07,2.2756796564717817e-07,3.331085129393837e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.74,7,21,-8.438650108485291e-09,5.1445860174363676e-08,0.47619047619047616,0.5238095238095238,0.0,2.150360503293919e-08,2.994225514142448e-08,4.51575705691723e-07,6.287873579699141e-07,1.910950758250004e-07,2.236326499713529e-07,3.4172466866405717e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.76,7,21,-8.45526612183878e-09,5.0910870482573626e-08,0.38095238095238093,0.6190476190476191,0.0,2.122780218036742e-08,2.9683068302206202e-08,4.4578384578771585e-07,6.233444343463302e-07,2.136500694676809e-07,2.226546894009269e-07,3.490244171834028e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.78,7,21,-8.218489312535371e-09,5.136443303368196e-08,0.38095238095238093,0.6190476190476191,0.0,2.1572971860573293e-08,2.9791461173108666e-08,4.530324090720392e-07,6.25620684635282e-07,2.348236395707003e-07,2.3120972147094228e-07,3.604608958441981e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.8,7,21,-6.281855746826318e-09,5.4577159237824307e-08,0.3333333333333333,0.6666666666666666,0.0,2.4147651745498996e-08,3.0429507492325314e-08,5.071006866554789e-07,6.390196573388316e-07,2.6109922958233625e-07,2.4236298012831e-07,3.863164685272018e-07,0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.82,7,21,-1.997502106852816e-09,5.9084887639591465e-08,0.38095238095238093,0.6190476190476191,0.0,2.8543692766369323e-08,3.054119487322214e-08,5.994175480937558e-07,6.413650923376649e-07,2.8289333737549854e-07,2.4608242091927896e-07,4.1052824195661485e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.84,7,21,4.054402731137778e-09,6.1412249762446e-08,0.38095238095238093,0.6190476190476191,0.0,3.273332624679189e-08,2.8678923515654107e-08,6.873998511826296e-07,6.022573938287363e-07,2.996685364730163e-07,2.4123134773321524e-07,4.277482184725178e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.86,7,21,1.0218216581799494e-08,6.551016935517512e-08,0.47619047619047616,0.5238095238095238,0.0,3.78641929684873e-08,2.7645976386687812e-08,7.951480523382334e-07,5.805655041204441e-07,3.1395867601064826e-07,2.4390141369754476e-07,4.4617361094604236e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.88,7,21,1.4458816798700779e-08,6.655317358227168e-08,0.5714285714285714,0.42857142857142855,0.0,4.0505995190486236e-08,2.6047178391785453e-08,8.506258990002109e-07,5.469907462274945e-07,3.204255590608916e-07,2.4771025714938963e-07,4.5598668415390825e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.9,7,21,1.52942122073712e-08,6.632664171578504e-08,0.5714285714285714,0.42857142857142855,0.0,4.0810426961578116e-08,2.5516214754206918e-08,8.570189661931404e-07,5.358405098383453e-07,3.1623158723711296e-07,2.5275207135617516e-07,4.571302758287056e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.0,7,21,-9.742719261198716e-10,6.498199983613142e-08,0.42857142857142855,0.5714285714285714,0.0,3.200386395500578e-08,3.2978135881125645e-08,6.720811430551213e-07,6.925408535036386e-07,3.177824484034744e-07,2.971353873699189e-07,4.722872566540988e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.1,7,21,4.035378889300734e-09,7.418679756495423e-08,0.6666666666666666,0.3333333333333333,0.0,3.911108822712748e-08,3.507570933782674e-08,8.213328527696771e-07,7.365898960943616e-07,3.3754506916759755e-07,3.2739654006979475e-07,5.382917435444821e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.2,7,21,-1.1805297480245406e-08,6.30386141089968e-08,0.42857142857142855,0.5714285714285714,0.0,2.5616658314375697e-08,3.74219557946211e-08,5.379498246018896e-07,7.858610716870431e-07,3.2740056790572134e-07,3.582388126279769e-07,5.215852953838507e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.3,7,21,-2.871733754435501e-09,7.847418244004204e-08,0.5714285714285714,0.42857142857142855,0.0,3.780122434280327e-08,4.067295809723877e-08,7.938257111988686e-07,8.541321200420142e-07,3.3821004735909794e-07,4.095139954676726e-07,5.758126761796645e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.4,7,21,-1.1309572750172335e-08,7.5140026410506e-08,0.5714285714285714,0.42857142857142855,0.0,3.191522683016684e-08,4.3224799580339175e-08,6.702197634335036e-07,9.077207911871226e-07,2.9598722093688707e-07,4.4666758964300045e-07,5.621713180575364e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.5,7,21,-3.624782875317923e-08,6.744637528697081e-08,0.2857142857142857,0.7142857142857143,0.0,1.5599273266895788e-08,5.184710202007502e-08,3.2758473860481155e-07,1.0887891424215753e-06,1.780677067425149e-07,4.656027134638531e-07,5.259198627841553e-07,0.4285714285714286,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.6,7,21,-3.067812545265263e-08,6.360862722949701e-08,0.47619047619047616,0.5238095238095238,0.0,1.6465250888422186e-08,4.714337634107482e-08,3.4577026865686587e-07,9.900109031625711e-07,1.2198069545147273e-07,4.678275404004838e-07,5.009602632119102e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.7,7,21,-4.2417539550647e-08,7.367047848771842e-08,0.2857142857142857,0.7142857142857143,0.0,1.5626469468535707e-08,5.804400901918271e-08,3.2815585883924983e-07,1.2189241894028369e-06,1.6878783861564558e-07,5.079852555917663e-07,5.5603409391978e-07,0.4285714285714286,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.8,7,21,-2.608022643854785e-08,7.560439100213468e-08,0.47619047619047616,0.5238095238095238,0.0,2.4762082281793416e-08,5.084230872034126e-08,5.200037279176617e-07,1.0676884831271665e-06,1.9974335287533758e-07,5.33275606873785e-07,5.801139673940915e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,2.9,7,21,-5.030101082155883e-08,8.030636536358712e-08,0.23809523809523808,0.7619047619047619,0.0,1.5002677271014142e-08,6.530368809257298e-08,3.15056222691297e-07,1.3713774499440326e-06,1.6672063303138307e-07,5.981997192240601e-07,6.25878860140578e-07,0.5238095238095237,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,3.0,7,21,-5.449884532963599e-08,7.72265284406444e-08,0.5238095238095238,0.47619047619047616,0.0,1.13638415555042e-08,6.586268688514019e-08,2.386406726655882e-07,1.383116424587944e-06,8.74982762529868e-08,6.449454490252395e-07,6.537438142981038e-07,-0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,5.0,P2,0.3,7,21,1.566214907668039e-08,7.628488307217325e-08,0.5238095238095238,0.47619047619047616,0.0,4.597351607442682e-08,3.031136699774643e-08,9.654438375629633e-07,6.365387069526751e-07,3.8557807366710376e-07,2.9665816814302134e-07,5.672944888669423e-07,-0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,5.0,P2,0.4,7,21,-1.288654346679829e-08,6.943680352775002e-08,0.3333333333333333,0.6666666666666666,0.0,2.8275130030475863e-08,4.116167349727416e-08,5.937777306399931e-07,8.643951434427572e-07,2.6737907770218813e-07,4.046897951262552e-07,5.357539420884846e-07,0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,5.0,P2,0.5,7,21,-1.0680155360419681e-08,6.701718924606386e-08,0.47619047619047616,0.5238095238095238,0.0,2.816851694282209e-08,3.884867230324177e-08,5.915388557992639e-07,8.158221183680772e-07,1.9556103250787574e-07,3.438343664466391e-07,4.585142604598272e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,5.0,P2,0.6,7,21,-2.690259433773105e-08,5.03213754466823e-08,0.47619047619047616,0.5238095238095238,0.0,1.1709390554475623e-08,3.8611984892206674e-08,2.458972016439881e-07,8.108516827363401e-07,8.475619180889259e-08,2.5965108669259464e-07,3.207831799170643e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,5.0,P2,0.7,7,21,-8.377523375890507e-09,5.0251327728611984e-08,0.47619047619047616,0.5238095238095238,0.0,2.0936902176360736e-08,2.9314425552251244e-08,4.396749457035755e-07,6.156029365972761e-07,2.0225860313731942e-07,2.215099355487748e-07,3.4255892094463705e-07,0.04761904761904767,0,lambda_max_kneg,1.0
