row_id,log10_gbar_m_per_s2,e_log10_gbar,log10_gobs_m_per_s2,e_log10_gobs,gbar_m_per_s2,gobs_m_per_s2,source_table,claim_boundary
116,-9.58,0.08,-9.37,0.18,2.6302679918953814e-10,4.2657951880159342e-10,RAR.mrt,direct_standard_rar_table_only
117,-9.58,0.08,-9.38,0.19,2.6302679918953814e-10,4.1686938347033463e-10,RAR.mrt,direct_standard_rar_table_only
118,-9.59,0.08,-9.38,0.18,2.5703957827688648e-10,4.1686938347033463e-10,RAR.mrt,direct_standard_rar_table_only
119,-9.6,0.08,-9.39,0.19,2.511886431509582e-10,4.0738027780411222e-10,RAR.mrt,direct_standard_rar_table_only
120,-9.63,0.08,-9.41,0.18,2.3442288153199181e-10,3.8904514499428046e-10,RAR.mrt,direct_standard_rar_table_only
121,-9.64,0.08,-9.42,0.18,2.2908676527677701e-10,3.8018939632056128e-10,RAR.mrt,direct_standard_rar_table_only
122,-9.65,0.08,-9.42,0.19,2.2387211385683377e-10,3.8018939632056128e-10,RAR.mrt,direct_standard_rar_table_only
123,-9.69,0.08,-9.44,0.18,2.0417379446695316e-10,3.6307805477010177e-10,RAR.mrt,direct_standard_rar_table_only
124,-9.8,0.08,-9.48,0.18,1.5848931924611109e-10,3.3113112148259076e-10,RAR.mrt,direct_standard_rar_table_only
125,-9.91,0.08,-9.51,0.18,1.2302687708123812e-10,3.0902954325135922e-10,RAR.mrt,direct_standard_rar_table_only
126,-11.4,0.06,-10.66,0.2,3.9810717055349695e-12,2.1877616239495519e-11,RAR.mrt,direct_standard_rar_table_only
127,-11.34,0.04,-10.71,0.2,4.5708818961487516e-12,1.9498445997580414e-11,RAR.mrt,direct_standard_rar_table_only
128,-11.33,0.04,-10.74,0.2,4.6773514128719809e-12,1.8197008586099825e-11,RAR.mrt,direct_standard_rar_table_only
129,-11.45,0.04,-10.79,0.2,3.5481338923357604e-12,1.6218100973589331e-11,RAR.mrt,direct_standard_rar_table_only
130,-11.54,0.04,-10.84,0.2,2.8840315031266117e-12,1.445439770745928e-11,RAR.mrt,direct_standard_rar_table_only
131,-10.59,0.1,-10.4,0.3,2.5703957827688646e-11,3.9810717055349695e-11,RAR.mrt,direct_standard_rar_table_only
132,-10.64,0.1,-10.55,0.29,2.2908676527677699e-11,2.8183829312644493e-11,RAR.mrt,direct_standard_rar_table_only
133,-10.73,0.08,-10.61,0.29,1.8620871366628657e-11,2.4547089156850335e-11,RAR.mrt,direct_standard_rar_table_only
134,-10.89,0.08,-10.66,0.29,1.2882495516931322e-11,2.1877616239495519e-11,RAR.mrt,direct_standard_rar_table_only
135,-9.78,0.11,-9.96,0.09,1.6595869074375631e-10,1.0964781961431829e-10,RAR.mrt,direct_standard_rar_table_only
136,-9.76,0.11,-9.94,0.09,1.7378008287493763e-10,1.1481536214968841e-10,RAR.mrt,direct_standard_rar_table_only
137,-9.78,0.11,-9.78,0.1,1.6595869074375631e-10,1.6595869074375631e-10,RAR.mrt,direct_standard_rar_table_only
138,-9.81,0.11,-9.71,0.08,1.5488166189124796e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
139,-9.84,0.11,-9.7,0.08,1.4454397707459281e-10,1.9952623149688828e-10,RAR.mrt,direct_standard_rar_table_only
140,-9.87,0.11,-9.66,0.08,1.3489628825916561e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
141,-9.89,0.11,-9.61,0.08,1.2882495516931322e-10,2.4547089156850336e-10,RAR.mrt,direct_standard_rar_table_only
142,-9.88,0.11,-9.64,0.08,1.3182567385564046e-10,2.2908676527677701e-10,RAR.mrt,direct_standard_rar_table_only
143,-9.86,0.11,-9.7,0.09,1.3803842646028866e-10,1.9952623149688828e-10,RAR.mrt,direct_standard_rar_table_only
144,-9.81,0.11,-9.74,0.07,1.5488166189124796e-10,1.8197008586099825e-10,RAR.mrt,direct_standard_rar_table_only
145,-9.78,0.11,-9.69,0.07,1.6595869074375631e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
146,-9.77,0.11,-9.69,0.07,1.6982436524617461e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
147,-9.8,0.11,-9.66,0.07,1.5848931924611109e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
148,-9.81,0.11,-9.67,0.07,1.5488166189124796e-10,2.1379620895022325e-10,RAR.mrt,direct_standard_rar_table_only
149,-9.82,0.11,-9.67,0.07,1.5135612484362072e-10,2.1379620895022325e-10,RAR.mrt,direct_standard_rar_table_only
150,-9.83,0.11,-9.69,0.07,1.4791083881682071e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
151,-9.84,0.11,-9.66,0.07,1.4454397707459281e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
152,-9.85,0.11,-9.69,0.07,1.4125375446227556e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
153,-9.86,0.11,-9.71,0.09,1.3803842646028866e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
154,-9.88,0.11,-9.71,0.07,1.3182567385564046e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
155,-9.92,0.11,-9.74,0.07,1.2022644346174132e-10,1.8197008586099825e-10,RAR.mrt,direct_standard_rar_table_only
156,-10.01,0.11,-9.78,0.07,9.772372209558111e-11,1.6595869074375631e-10,RAR.mrt,direct_standard_rar_table_only
157,-10.05,0.11,-9.83,0.07,8.912509381337441e-11,1.4791083881682071e-10,RAR.mrt,direct_standard_rar_table_only
158,-10.08,0.11,-9.84,0.07,8.3176377110267092e-11,1.4454397707459281e-10,RAR.mrt,direct_standard_rar_table_only
159,-10.12,0.1,-9.87,0.07,7.5857757502918511e-11,1.3489628825916561e-10,RAR.mrt,direct_standard_rar_table_only
160,-10.18,0.1,-9.93,0.07,6.6069344800759643e-11,1.1748975549395304e-10,RAR.mrt,direct_standard_rar_table_only
161,-10.24,0.1,-10.03,0.07,5.7543993733715666e-11,9.3325430079699241e-11,RAR.mrt,direct_standard_rar_table_only
162,-10.32,0.1,-10.07,0.07,4.7863009232263801e-11,8.511380382023759e-11,RAR.mrt,direct_standard_rar_table_only
163,-10.39,0.1,-10.08,0.07,4.0738027780411218e-11,8.3176377110267092e-11,RAR.mrt,direct_standard_rar_table_only
164,-10.46,0.1,-10.11,0.07,3.4673685045253096e-11,7.7624711662869273e-11,RAR.mrt,direct_standard_rar_table_only
165,-10.52,0.1,-10.19,0.07,3.019951720402019e-11,6.4565422903465622e-11,RAR.mrt,direct_standard_rar_table_only
166,-10.58,0.1,-10.17,0.07,2.6302679918953815e-11,6.7608297539198192e-11,RAR.mrt,direct_standard_rar_table_only
167,-10.65,0.1,-10.19,0.07,2.2387211385683377e-11,6.4565422903465622e-11,RAR.mrt,direct_standard_rar_table_only
168,-10.69,0.1,-10.22,0.07,2.0417379446695317e-11,6.0255958607435689e-11,RAR.mrt,direct_standard_rar_table_only
169,-10.74,0.1,-10.26,0.07,1.8197008586099825e-11,5.4954087385762479e-11,RAR.mrt,direct_standard_rar_table_only
170,-11.01,0.1,-10.36,0.2,9.7723722095581123e-12,4.3651583224016655e-11,RAR.mrt,direct_standard_rar_table_only
171,-11.04,0.09,-10.37,0.2,9.1201083935591156e-12,4.2657951880159344e-11,RAR.mrt,direct_standard_rar_table_only
172,-11.09,0.08,-10.45,0.2,8.1283051616409945e-12,3.5481338923357607e-11,RAR.mrt,direct_standard_rar_table_only
173,-11.06,0.06,-10.53,0.2,8.7096358995607959e-12,2.9512092266663903e-11,RAR.mrt,direct_standard_rar_table_only
174,-11.09,0.05,-10.59,0.2,8.1283051616409945e-12,2.5703957827688646e-11,RAR.mrt,direct_standard_rar_table_only
175,-11.18,0.05,-10.65,0.2,6.6069344800759645e-12,2.2387211385683377e-11,RAR.mrt,direct_standard_rar_table_only
176,-8.5,0.11,-8.39,0.12,3.1622776601683795e-09,4.0738027780411223e-09,RAR.mrt,direct_standard_rar_table_only
177,-8.59,0.1,-8.57,0.12,2.5703957827688646e-09,2.6915348039269138e-09,RAR.mrt,direct_standard_rar_table_only
178,-8.69,0.1,-8.7,0.12,2.0417379446695317e-09,1.9952623149688828e-09,RAR.mrt,direct_standard_rar_table_only
179,-8.78,0.1,-8.79,0.12,1.6595869074375631e-09,1.6218100973589331e-09,RAR.mrt,direct_standard_rar_table_only
180,-8.87,0.1,-8.87,0.11,1.348962882591656e-09,1.348962882591656e-09,RAR.mrt,direct_standard_rar_table_only
181,-8.94,0.1,-8.94,0.12,1.148153621496884e-09,1.148153621496884e-09,RAR.mrt,direct_standard_rar_table_only
182,-9.01,0.09,-9.0,0.11,9.7723722095581118e-10,1.0000000000000001e-09,RAR.mrt,direct_standard_rar_table_only
183,-9.07,0.09,-9.05,0.11,8.5113803820237593e-10,8.912509381337441e-10,RAR.mrt,direct_standard_rar_table_only
184,-9.12,0.09,-9.1,0.11,7.5857757502918514e-10,7.9432823472428218e-10,RAR.mrt,direct_standard_rar_table_only
185,-9.16,0.09,-9.14,0.11,6.918309709189363e-10,7.2443596007498912e-10,RAR.mrt,direct_standard_rar_table_only
186,-9.2,0.09,-9.18,0.11,6.3095734448019425e-10,6.6069344800759641e-10,RAR.mrt,direct_standard_rar_table_only
187,-9.23,0.08,-9.21,0.11,5.8884365535558835e-10,6.1659500186148092e-10,RAR.mrt,direct_standard_rar_table_only
188,-9.27,0.08,-9.24,0.11,5.3703179637025321e-10,5.7543993733715669e-10,RAR.mrt,direct_standard_rar_table_only
189,-9.3,0.08,-9.27,0.11,5.0118723362727143e-10,5.3703179637025321e-10,RAR.mrt,direct_standard_rar_table_only
190,-9.34,0.08,-9.3,0.11,4.5708818961487517e-10,5.0118723362727143e-10,RAR.mrt,direct_standard_rar_table_only
191,-9.38,0.08,-9.32,0.11,4.1686938347033463e-10,4.7863009232263798e-10,RAR.mrt,direct_standard_rar_table_only
192,-9.41,0.08,-9.34,0.13,3.8904514499428046e-10,4.5708818961487517e-10,RAR.mrt,direct_standard_rar_table_only
193,-9.45,0.08,-9.36,0.12,3.5481338923357605e-10,4.3651583224016655e-10,RAR.mrt,direct_standard_rar_table_only
194,-9.48,0.08,-9.38,0.11,3.3113112148259076e-10,4.1686938347033463e-10,RAR.mrt,direct_standard_rar_table_only
195,-9.51,0.08,-9.4,0.11,3.0902954325135922e-10,3.9810717055349694e-10,RAR.mrt,direct_standard_rar_table_only
196,-9.53,0.08,-9.42,0.11,2.9512092266663898e-10,3.8018939632056128e-10,RAR.mrt,direct_standard_rar_table_only
197,-9.58,0.08,-9.46,0.11,2.6302679918953814e-10,3.4673685045253098e-10,RAR.mrt,direct_standard_rar_table_only
198,-9.6,0.08,-9.47,0.12,2.511886431509582e-10,3.3884415613920202e-10,RAR.mrt,direct_standard_rar_table_only
199,-9.63,0.08,-9.49,0.12,2.3442288153199181e-10,3.2359365692962813e-10,RAR.mrt,direct_standard_rar_table_only
200,-9.64,0.08,-9.49,0.11,2.2908676527677701e-10,3.2359365692962813e-10,RAR.mrt,direct_standard_rar_table_only
201,-9.65,0.08,-9.5,0.11,2.2387211385683377e-10,3.1622776601683795e-10,RAR.mrt,direct_standard_rar_table_only
202,-9.67,0.08,-9.52,0.11,2.1379620895022325e-10,3.0199517204020193e-10,RAR.mrt,direct_standard_rar_table_only
203,-9.69,0.08,-9.53,0.11,2.0417379446695316e-10,2.9512092266663898e-10,RAR.mrt,direct_standard_rar_table_only
204,-9.74,0.08,-9.56,0.12,1.8197008586099825e-10,2.7542287033381632e-10,RAR.mrt,direct_standard_rar_table_only
205,-9.76,0.08,-9.57,0.11,1.7378008287493763e-10,2.6915348039269137e-10,RAR.mrt,direct_standard_rar_table_only
206,-9.82,0.08,-9.61,0.11,1.5135612484362072e-10,2.4547089156850336e-10,RAR.mrt,direct_standard_rar_table_only
207,-9.84,0.08,-9.63,0.11,1.4454397707459281e-10,2.3442288153199181e-10,RAR.mrt,direct_standard_rar_table_only
208,-9.86,0.08,-9.64,0.12,1.3803842646028866e-10,2.2908676527677701e-10,RAR.mrt,direct_standard_rar_table_only
209,-9.97,0.08,-9.71,0.11,1.0715193052376048e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
210,-9.98,0.08,-9.73,0.11,1.0471285480508985e-10,1.8620871366628656e-10,RAR.mrt,direct_standard_rar_table_only
