row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
76,DDO161,5.34,51.50,27.81,22.69,0.00,1.6096173914660706e-11,-10.793277344168313,35.891951744088814,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
77,DDO161,5.81,53.00,28.40,21.59,0.00,1.5668414843458213e-11,-10.804974938410892,35.674754378972253,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
78,DDO161,6.28,55.00,28.98,20.86,0.00,1.5610441641033762e-11,-10.806584809970847,35.706862085599177,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
79,DDO161,6.75,57.60,29.57,20.11,0.00,1.5929078363476943e-11,-10.797809351206739,35.760271251767655,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
80,DDO161,7.22,59.70,30.30,19.38,0.00,1.599782417966173e-11,-10.795939080533039,35.967685496845633,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
81,DDO161,7.69,60.50,31.18,18.70,0.00,1.5425308705056873e-11,-10.811766135718631,36.357700697376337,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
82,DDO161,8.16,61.80,32.06,18.06,0.00,1.51682768301685e-11,-10.819063753798368,36.796836820574676,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
83,DDO161,8.64,62.90,32.64,17.47,0.00,1.4840106005266873e-11,-10.828562996810494,37.021216889778216,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
84,DDO161,9.11,63.00,33.23,16.94,0.00,1.4119267837326769e-11,-10.850187823287973,37.298746627735362,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
85,DDO161,9.58,64.50,33.38,16.44,0.00,1.4073540750428935e-11,-10.851596625030147,37.208843034956089,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
86,DDO161,10.05,65.60,33.38,15.98,0.00,1.3876855684600298e-11,-10.857708928227325,37.007901858927376,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
87,DDO161,10.52,67.50,32.79,15.57,0.00,1.4035932164953317e-11,-10.852758739377808,36.298884280374239,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
88,DDO161,10.99,66.80,32.06,15.18,0.00,1.3158448568271357e-11,-10.880795312694538,35.472186287287116,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
89,DDO161,11.46,66.80,31.18,14.81,0.00,1.2618791428036842e-11,-10.898982237902418,34.518524012477705,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
