family_id,variant_id,block_id,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,delta_k,all_pairs,28,0.4361603081926553,0.45240667735115137,0.22599459460376084,0.6023900884121673,0,3,-0.12467367996333045,0.017,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,delta_omega,all_pairs,28,0.4361603081926553,0.4514196054613954,0.2126965514599858,0.5991942107152669,0,4,-0.12467367996333045,0.0,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,delta_k2,all_pairs,28,0.4247489570197765,0.4417150649710559,0.21055294194358654,0.5960918249739321,0,5,-0.13608503113620923,0.005,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,abs_delta_k,all_pairs,28,0.5608339881559857,0.5736671333054013,0.525490038823811,0.6271208497555155,0,1,0.001306775412801442,0.535,1,0,{}
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,abs_delta_k2,all_pairs,28,0.5595272127431843,0.5730966102939261,0.5214239771264605,0.628167436289414,0,2,-0.001306775412801442,0.448,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,delta_k,all_pairs,28,0.4361603081926553,0.4492093192170315,0.22174395364747418,0.5967778658819333,0,3,-0.12467367996333045,0.009,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,delta_omega,all_pairs,28,0.4361603081926553,0.4540706427849863,0.2298899493320886,0.6003956070549155,0,4,-0.12467367996333045,0.0,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,delta_k2,all_pairs,28,0.4247489570197765,0.44239672845585815,0.21510441910064593,0.6005923869823981,0,5,-0.13608503113620923,0.008,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,delta_k,all_pairs,28,0.5456342884113906,0.5610566821919388,0.5106277844239577,0.6166762903400979,0,1,0.0,0.952,1,1,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,abs_delta_k,all_pairs,28,0.5456342884113906,0.5615333759136613,0.5163403053778044,0.6177617395504632,0,2,0.0,0.0,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,delta_k2,all_pairs,28,0.4989411026440329,0.5119387827816926,0.41084832141658717,0.5960546115713427,0,3,-0.0466931857673577,0.048,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,abs_delta_k2,all_pairs,28,0.4989411026440329,0.5051942933250747,0.40496521282156994,0.5932325761116067,0,4,-0.0466931857673577,0.0,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,delta_lambda,all_pairs,28,0.4989411026440329,0.5086778780144371,0.405477386136081,0.6025879117964332,0,5,-0.0466931857673577,0.0,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,delta_k,all_pairs,28,0.5456342884113906,0.5611766028913026,0.5117276010952924,0.6193702273148401,0,1,0.0,0.95,1,1,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,abs_delta_k,all_pairs,28,0.5456342884113906,0.5601920000768604,0.5088240687694785,0.6258948703987993,0,2,0.0,0.0,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,delta_k2,all_pairs,28,0.4989411026440329,0.5113100972583702,0.40760012146842933,0.6015846968595526,0,3,-0.0466931857673577,0.05,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,abs_delta_k2,all_pairs,28,0.4989411026440329,0.5106620919457756,0.41701677684177507,0.5957638793435966,0,4,-0.0466931857673577,0.0,0,0,{}
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,delta_lambda,all_pairs,28,0.4989411026440329,0.5069485552449029,0.3983269628672721,0.5939224505196248,0,5,-0.0466931857673577,0.0,0,0,{}
