section,field_1,field_2,field_3,field_4,notes
domain_path_samples,causality,data/bmc09a_knn_inputs/k_4/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_4/node_metadata_real.csv
domain_path_samples,causality,data/bmc09a_realdata_config.yaml,,,domain_guess=causality; relative_path=data/bmc09a_realdata_config.yaml
domain_path_samples,causality,data/bmc09b_k_sweep_config.yaml,,,domain_guess=causality; relative_path=data/bmc09b_k_sweep_config.yaml
domain_path_samples,causality,data/bmc09b_runner_config_k_2.yaml,,,domain_guess=causality; relative_path=data/bmc09b_runner_config_k_2.yaml
domain_path_samples,causality,data/bmc09b_runner_config_k_3.yaml,,,domain_guess=causality; relative_path=data/bmc09b_runner_config_k_3.yaml
domain_path_samples,causality,data/bmc09b_runner_config_k_4.yaml,,,domain_guess=causality; relative_path=data/bmc09b_runner_config_k_4.yaml
domain_path_samples,causality,data/bmc09c_mutual_knn_compare_config.yaml,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_compare_config.yaml
domain_path_samples,causality,data/bmc09c_mutual_knn_config.yaml,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_config.yaml
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/graph_build_diagnostics.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/graph_build_diagnostics.csv
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_2/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_2/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_2/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_2/graph_build_summary.json
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_2/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_2/node_metadata_real.csv
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_3/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_3/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_3/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_3/graph_build_summary.json
domain_path_samples,causality,data/bmc09c_mutual_knn_inputs/k_3/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09c_mutual_knn_inputs/k_3/node_metadata_real.csv
