family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5633447853835724,0.5885292041477695,0.5017568139669925,0.6971781784977468,0,1,0.0,0.775,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5633447853835724,0.5870521911504188,0.49871550036939294,0.6938099272534534,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.5268434135218515,0.5474763511250381,0.3932828622206092,0.6910244643193301,0,3,-0.036501371861720866,0.225,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.5268434135218515,0.5454022851855271,0.39018313980610236,0.6791381997219494,0,4,-0.036501371861720866,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.5268434135218515,0.5436274192696201,0.3916636157763538,0.6795972689705045,0,5,-0.036501371861720866,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5623523493091288,0.5910592675983073,0.4981496504917034,0.7017713336593303,0,1,0.0,0.741,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5623523493091288,0.5878239103620216,0.5053118698333909,0.703977381952555,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.5313112405248995,0.5508722468523835,0.40869207751457026,0.6647927793363895,0,3,-0.031041108784229277,0.259,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.5313112405248995,0.5508261035504026,0.3989648200270843,0.6876357299319729,0,4,-0.031041108784229277,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.5313112405248995,0.5505569202007485,0.40902914453182043,0.6762590113257132,0,5,-0.031041108784229277,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5713587165425466,0.5991074230567617,0.5154848444058916,0.7277813175514493,0,1,0.0,0.947,1,1,{}
